,Địa điểm,Khu vực,latitude,longitude,1953,1975,1983,1999
0,Tổ 12 kv4 Vĩ Dạ,Thành phố Huế,16.486555555555558,107.59599999999999,,0.9,0.9,1.8
1,8/15 Hàn Mặc Tử,Thành phố Huế,16.473305555555555,107.59652777777778,,1.05,nan,2.03
2,100 Ng Lộ Trạch(XP),Thành phố Huế,16.469944444444444,107.60388888888889,,1.3,nan,1.55
3,15 Chu Văn An -Phội,Thành phố Huế,16.468166666666665,107.59583333333333,,,0.85,1.7
4,22BLê Qúi Đôn-Phội,Thành phố Huế,16.468833333333333,107.59913888888889,,,0.3,1.45
5,2 Phan Bội Châu,Thành phố Huế,16.45927777777778,107.58280555555555,,0.5,nan,1.5
6,8 Nguyễn Khuyến,Thành phố Huế,16.45797222222222,107.59575,,0.5,nan,1.7
7,170 Phan Chu Trinh,Thành phố Huế,16.451999999999998,107.59747222222222,,0.4,nan,1.1
8,18 Đặng Văn Ngữ,Thành phố Huế,16.457277777777776,107.60219444444444,,0.5,nan,1.3
9,57 Đặng Văn Ngữ,Thành phố Huế,16.455916666666667,107.60602777777777,,1.0,nan,1.5
10,Tổ5 kv2Kim long,Thành phố Huế,16.455277777777777,107.55644444444444,,,nan,1.92
11,Tổ 15 kv5 Vĩ dạ,Thành phố Huế,16.485972222222223,107.60544444444444,,,nan,1.5
12,80 Đinh Tiên Hoàng,Thành phố Huế,16.47208333333333,107.57447222222221,,1.07,1.05,2.02
13,39 Trần Nhật Duật,Thành phố Huế,16.473138888888887,107.56772222222222,,,1.71,2.65
14,73 Lê Trung Đỉnh,Thành phố Huế,16.48352777777778,107.57222222222222,,,0.95,2.05
15,11 Hoàng Diệu,Thành phố Huế,16.469277777777776,107.55927777777778,,,1.3,2.16
16,7 Lê Đại Hành,Thành phố Huế,16.471305555555553,107.55913888888888,,,1.6,2.4
17,30 Trần Quốc Toản,Thành phố Huế,16.471638888888886,107.55891666666666,,,1.4,2.5
18,105 Chi lăng-P.cát,Thành phố Huế,16.473805555555554,107.58725,,,nan,1.6
19,Trường t.học-Phú hậu,Thành phố Huế,16.490222222222222,107.58755555555555,,,1.16,1.5
20,68Nguyễn Sinh Cung,Thành phố Huế,16.47836111111111,107.59569444444443,,,nan,0.87
21,tổ 15 Vườn trầu-vĩ dạ,Thành phố Huế,16.484444444444446,107.60555555555555,,,nan,1.95
22,176AThanh tịnh Vĩ dạ  ,Thành phố Huế,16.483805555555556,107.59724999999999,,,nan,1.1
23,Tổ2 kv 1 Vĩ dạ,Thành phố Huế,16.475749999999998,107.59797222222221,,,nan,1.33
24,Tổ 13kv5 Vĩ dạ,Thành phố Huế,16.47244444444444,107.60127777777777,,,nan,1.2
25,2 Chu Văn An(P.hội ),Thành phố Huế,16.47063888888889,107.59208333333333,,,nan,1.5
26,Kiốt 19 Đống đa,Thành phố Huế,16.462722222222222,107.59355555555555,,,nan,1.75
27,12 Ngô Gia Tự,Thành phố Huế,16.46022222222222,107.59016666666666,,,nan,1.7
28,44ABùi Thị Xuân,Thành phố Huế,16.457694444444442,107.56986111111111,,,nan,1.9
29,TT Trạm đầu máy P.Đ 16 27 475,Thành phố Huế,16.457916666666666,107.57519444444443,,,nan,0.7
30,11/1Lịch đợi P.đúc,Thành phố Huế,16.454527777777777,107.57402777777777,,,nan,0.2
31,20 Bùi Thị Xuân,Thành phố Huế,16.459555555555553,107.57877777777777,,,nan,0.68
32,3Điện Biên Phủ,Thành phố Huế,16.457194444444443,107.58063888888888,,,nan,0.75
33,21 Phan Bội Châu,Thành phố Huế,16.455555555555556,107.58408333333333,,,nan,1.9
34,61 Hai Bà Trưng,Thành phố Huế,16.45702777777778,107.58902777777777,,,nan,1.2
35,10 Trần Phú,Thành phố Huế,16.455555555555556,107.59202777777777,,,nan,1.3
36,76/8Nguyễn Huệ,Thành phố Huế,16.457944444444443,107.59313888888889,,,nan,1.25
37,Ng.thị Minh Khai,Thành phố Huế,16.460694444444442,107.59669444444444,,,nan,1.2
38,148/31P.Chu Trinh,Thành phố Huế,16.452194444444444,107.59544444444444,,,nan,0.7
39,84 Hùng Vương,Thành phố Huế,16.457666666666665,107.60252777777777,,,nan,0.55
40,79 Bà Triệu (P.x.phú),Thành phố Huế,16.462527777777776,107.60013888888888,,,nan,1.4
41,45 Bà Triệu,Thành phố Huế,16.450138888888887,107.59925,,,nan,1.07
42,41 Lê Qúi Đôn,Thành phố Huế,16.46869444444444,107.59980555555555,,,nan,1.8
43,61/4Ng.Tuân,Thành phố Huế,16.467416666666665,107.60352777777777,,,nan,1.55
44,T.Tứ Đông(Thuỷ an),Thành phố Huế,16.458027777777776,107.60647222222222,,,nan,1.55
45,T.Tứ Đông(Thuỷ an),Thành phố Huế,16.459555555555553,107.6063611111111,,,nan,1.3
46,t.Tam Đông(Thuỷ an),Thành phố Huế,16.45872222222222,107.60941666666666,,,nan,1.66
47,117Trường Chinh(X,Thành phố Huế,16.46236111111111,107.6006111111111,,,nan,1.6
48,Tổ2 kv5 Kim long,Thành phố Huế,16.455277777777777,107.55644444444444,,,nan,1.92
49,38 Lý Nam Đế(H.sơ),Thành phố Huế,16.472777777777775,107.55402777777778,,,nan,2.55
50,256 Lý TháI Tổ (H.sơ,Thành phố Huế,16.487222222222222,107.53752777777778,,,nan,1.9
51,163 Lê Duẩn,Thành phố Huế,16.467,107.55966666666666,,,nan,1.6
52,Xóm 4 Hương sơ,Thành phố Huế,16.486694444444446,107.55516666666666,,,nan,1.58
53,Xuân hoà-Hương long16 27 142,Thành phố Huế,16.45236111111111,107.55116666666666,,,nan,2.2
54,Kiệt 8Thôn12,Thành phố Huế,16.455222222222222,107.62158333333333,,,nan,1.97
55,Tổ 15 Xuân hoà Hlg,Thành phố Huế,16.451777777777778,107.54088888888889,,,nan,1.5
56,Tổ 2 p.Kim long,Thành phố Huế,16.458333333333332,107.55469444444444,,,nan,1.8
57,Tổ 11 H long,Thành phố Huế,16.45888888888889,107.55083333333333,,,nan,1.6
58,Tổ 10 An ninh hạ HL,Thành phố Huế,16.459416666666666,107.55033333333333,,,nan,1.5
59,Tổ 12 An ninh hạ HL,Thành phố Huế,16.458222222222222,107.54286111111111,,,nan,1.7
60,Tổ 4 An ninh Thg HL,Thành phố Huế,16.45813888888889,107.53905555555555,,,nan,2.2
61,Đội 3 Trúc lâm H.long,Thành phố Huế,16.458194444444445,107.53686111111111,,,nan,0.8
62,Aninh thượng H.long,Thành phố Huế,16.45461111111111,107.53572222222222,,,nan,1.6
63,Đốc sơ Hương sơ,Thành phố Huế,16.483722222222223,107.55294444444444,,,nan,1.9
64,Đốc sơ Hương sơ,Thành phố Huế,16.49513888888889,107.556,,,nan,2.8
65,Cụm 3 Đốc sơ,Thành phố Huế,16.497027777777777,107.55544444444445,,,nan,1.9
66,Cụm 1 Hương Sơ,Thành phố Huế,16.485111111111113,107.55747222222222,,,nan,2.0
67,Cum 3 Lệ khê,Thành phố Huế,16.491944444444446,107.55769444444444,,,nan,2.1
68,Tổ1 kv1Phú hiệp,Thành phố Huế,16.487722222222224,107.57663888888888,,,nan,1.5
69,Nguyễn G.Thiều(P.hậu) ,Thành phố Huế,16.355583333333335,107.57488888888888,,,nan,0.9
70,284 Chi Lăng(P.hậu),Thành phố Huế,16.35611111111111,107.58780555555555,,,nan,1.2
71,Tổ 11kv4 Phú hậu,Thành phố Huế,16.49152777777778,107.58538888888889,,,nan,2.65
72,20 Bis Tăng bạt hổ P.B,Thành phố Huế,16.488944444444446,107.57322222222221,,,nan,1.2
73,293H.T.Kháng(P.Bình ),Thành phố Huế,16.486,107.57372222222222,,,nan,1.8
74,UBNN xã Quảng Th.,Huyện Quảng điền,16.533472222222223,107.55872222222222,,,nan,1.9
75,Trường tiểu học3Q.T,Huyện Quảng điền,16.537194444444445,107.56033333333333,,,nan,2.4
76,Tr.THCS Phú ngạn QT,Huyện Quảng điền,16.54188888888889,107.55672222222222,,,nan,2.2
77,Phú lễ ,Huyện Quảng điền,16.542083333333334,107.45563888888888,,,nan,0.98
78,Nam vinh,Huyện Quảng điền,16.551722222222224,107.47597222222223,,,0.9,1.7
79,Sơn Tùng,Huyện Quảng điền,16.55627777777778,107.49144444444444,,,nan,1.85
80,Vân Canh,Huyện Quảng điền,16.569055555555554,107.50063888888889,,,nan,1.4
81,Sia,Huyện Quảng điền,16.571833333333334,107.50788888888889,,,nan,1.92
82,Đội 5 ,Huyện Quảng điền,16.569055555555554,107.51683333333334,,,0.95,1.75
83,Đội 1,Huyện Quảng điền,16.55452777777778,107.52522222222223,,,nan,2.15
84,Thôn Mỹ Xá,Huyện Quảng điền,16.541861111111114,107.54069444444444,,,0.9,1.66
